
DECIMAL   	HEX       	DESCRIPTION
113246208 	0x6C00000 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
124485029 	0x76B7DA5 	U-Boot boot loader reference
130023424 	0x7C00000 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
134878151 	0x80A13C7 	U-Boot boot loader reference
145919052 	0x8B28C4C 	Copyright string: " does not exist, book about hacker cultureker culture"
145919749 	0x8B28F05 	Copyright string: " finns inte, book about hacker cultureculture"
Progress: 27.54% (147849216 / 536870912)

148485222 	0x8D9B466 	GIF image data, version "89a", 17418 x 29541
Progress: 27.93% (149946368 / 536870912)

Progress: 27.93% (149946368 / 536870912)

153076510 	0x91FC31E 	Ubiquiti firmware header, ~CRC32: 0x696E6572, version: " library"
153078080 	0x91FC940 	Ubiquiti firmware header, ~CRC32: 0x696E7465, version: " GIS geometry engine library"
153078973 	0x91FCCBD 	Ubiquiti firmware header, ~CRC32: 0x32340A4D, version: " bindings for Ruby"
159822660 	0x986B344 	U-Boot boot loader reference
164793420 	0x9D28C4C 	Copyright string: " does not exist, book about hacker cultureker culture"
164794117 	0x9D28F05 	Copyright string: " finns inte, book about hacker cultureculture"
168359138 	0xA08F4E2 	U-Boot boot loader reference
171553894 	0xA39B466 	GIF image data, version "89a", 17418 x 29541
176145182 	0xA7FC31E 	Ubiquiti firmware header, ~CRC32: 0x696E6572, version: " library"
176146752 	0xA7FC940 	Ubiquiti firmware header, ~CRC32: 0x696E7465, version: " GIS geometry engine library"
176147645 	0xA7FCCBD 	Ubiquiti firmware header, ~CRC32: 0x32340A4D, version: " bindings for Ruby"
182891332 	0xAE6B344 	U-Boot boot loader reference
189214212 	0xB472E04 	Linux EXT filesystem, rev 0.0 ext2 filesystem data (mounted or unclean), UUID=00000000-0000-0000-0000-000000000000
192968735 	0xB80781F 	GPG key trust database version 107
192968755 	0xB807833 	GPG key trust database version 107
192968775 	0xB807847 	GPG key trust database version 107
192968799 	0xB80785F 	GPG key trust database version 107
192968823 	0xB807877 	GPG key trust database version 107
193001587 	0xB80F873 	GPG key trust database version 118
193229136 	0xB847150 	U-Boot boot loader reference
193295675 	0xB85753B 	GPG key trust database version 45
193296963 	0xB857A43 	GPG key trust database version 1
193297659 	0xB857CFB 	GPG key trust database version 118
193299563 	0xB85846B 	GPG key trust database version 45
193301871 	0xB858D6F 	GPG key trust database version 115
193318712 	0xB85CF38 	U-Boot boot loader reference
193326235 	0xB85EC9B 	GPG key trust database version 118
193330676 	0xB85FDF4 	U-Boot boot loader reference
193335411 	0xB861073 	GPG key trust database version 118
197134336 	0xBC00800 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197155840 	0xBC05C00 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197170176 	0xBC09400 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197187584 	0xBC0D800 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197255168 	0xBC1E000 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197290168 	0xBC268B8 	LZMA compressed data, properties: 0x5C, dictionary size: 16777216 bytes, uncompressed size: 1232 bytes
197292600 	0xBC27238 	LZMA compressed data, properties: 0x99, dictionary size: 16777216 bytes, uncompressed size: 1224 bytes
197296128 	0xBC28000 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197315584 	0xBC2CC00 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197354496 	0xBC36400 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197474304 	0xBC53800 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197493760 	0xBC58400 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
197638328 	0xBC7B8B8 	LZMA compressed data, properties: 0x5C, dictionary size: 16777216 bytes, uncompressed size: 1232 bytes
197649976 	0xBC7E638 	LZMA compressed data, properties: 0x99, dictionary size: 16777216 bytes, uncompressed size: 1224 bytes
197726239 	0xBC9101F 	GPG key trust database version 107
197726259 	0xBC91033 	GPG key trust database version 107
197726279 	0xBC91047 	GPG key trust database version 107
197726303 	0xBC9105F 	GPG key trust database version 107
197726327 	0xBC91077 	GPG key trust database version 107
197743847 	0xBC954E7 	LZMA compressed data, properties: 0x5D, dictionary size: 33554432 bytes, missing uncompressed size
197812339 	0xBCA6073 	GPG key trust database version 118
197831151 	0xBCAA9EF 	LZMA compressed data, properties: 0x5D, dictionary size: 33554432 bytes, missing uncompressed size
198179159 	0xBCFF957 	LZMA compressed data, properties: 0x5D, dictionary size: 33554432 bytes, missing uncompressed size
198323536 	0xBD22D50 	U-Boot boot loader reference
198701271 	0xBD7F0D7 	LZMA compressed data, properties: 0x5D, dictionary size: 33554432 bytes, missing uncompressed size
198788727 	0xBD94677 	LZMA compressed data, properties: 0x5D, dictionary size: 33554432 bytes, missing uncompressed size
198866235 	0xBDA753B 	GPG key trust database version 45
198876739 	0xBDA9E43 	GPG key trust database version 1
198877435 	0xBDAA0FB 	GPG key trust database version 118
198888555 	0xBDACC6B 	GPG key trust database version 45
198905199 	0xBDB0D6F 	GPG key trust database version 115
198978052 	0xBDC2A04 	Linux EXT filesystem, rev 0.0 ext2 filesystem data (mounted or unclean), UUID=00000000-0000-0000-0000-000000000000
199002936 	0xBDC8B38 	U-Boot boot loader reference
199035035 	0xBDD089B 	GPG key trust database version 118
199047668 	0xBDD39F4 	U-Boot boot loader reference
199069811 	0xBDD9073 	GPG key trust database version 118
199130112 	0xBDE7C00 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
205521920 	0xC400400 	ELF 32-bit LSB executable, ARM, version 1 (SYSV)
205580288 	0xC40E800 	Executable script, shebang: "/bin/bash"
205580455 	0xC40E8A7 	Copyright string: " (C) 1998, 2001, 2002, 2006, 2007 Free Software Foundation07 Free Software Foundation"
205580525 	0xC40E8ED 	Copyright string: " (C) 1993 Jean-loup Gaillyhis program is free software; you can redistribute it and/or mo"
205581349 	0xC40EC25 	Copyright string: " (C) 2007 Free Software Foundation, Inc.ion, Inc."
205586432 	0xC410000 	ELF 32-bit LSB executable, ARM, version 1 (SYSV)
205649920 	0xC41F800 	ELF 32-bit LSB executable, ARM, version 1 (SYSV)
205660220 	0xC42203C 	Copyright string: " %s %d Free Software Foundation, Inc., Inc."
205663548 	0xC422D3C 	LZMA compressed data, properties: 0xC7, dictionary size: 16777216 bytes, uncompressed size: 50331648 bytes
205664256 	0xC423000 	ELF 32-bit LSB executable, ARM, version 1 (SYSV)
205693353 	0xC42A1A9 	Copyright string: " (c) 1989 The Regents of the University of California.iversity of California."
205694976 	0xC42A800 	ELF 32-bit LSB executable, ARM, version 1 (SYSV)
205732840 	0xC433BE8 	Zip archive data, v0.0 compressed size: 621412352,  uncompressed size: 622869107, name: "ot in gzip formatdecompression OK, trailing zero bytes ignored bytes ignoredression OK, trailing garbage ignorednored"  

